p k ord | K M | K->M transitions | walk range | range/sqrt(p) | (s,s) (s,n) (n,s) (n,n) per L
137 3 136 | 44 44 | 30 | 6 | 0.51 | 0.103 0.221 0.221 0.456
139 2 138 | 48 48 | 30 | 4 | 0.34 | 0.159 0.188 0.188 0.464
149 2 148 | 40 40 | 26 | 4 | 0.33 | 0.095 0.176 0.176 0.554
151 6 150 | 36 36 | 22 | 6 | 0.49 | 0.067 0.173 0.173 0.587
157 5 156 | 44 44 | 30 | 4 | 0.32 | 0.064 0.218 0.218 0.500
163 2 162 | 52 52 | 26 | 6 | 0.47 | 0.074 0.247 0.247 0.432
167 5 166 | 56 56 | 36 | 4 | 0.31 | 0.133 0.205 0.205 0.458
173 2 172 | 68 68 | 40 | 6 | 0.46 | 0.140 0.256 0.256 0.349
179 2 178 | 64 64 | 46 | 4 | 0.30 | 0.146 0.213 0.213 0.427
181 2 180 | 72 72 | 48 | 8 | 0.59 | 0.167 0.233 0.233 0.367
191 19 190 | 56 56 | 30 | 4 | 0.29 | 0.063 0.232 0.232 0.474
193 5 192 | 76 76 | 52 | 6 | 0.43 | 0.177 0.219 0.219 0.385
197 2 196 | 60 60 | 40 | 6 | 0.43 | 0.102 0.204 0.204 0.490
199 3 198 | 68 68 | 36 | 4 | 0.28 | 0.141 0.202 0.202 0.455
211 2 210 | 76 76 | 52 | 8 | 0.55 | 0.114 0.248 0.248 0.390
223 3 222 | 88 88 | 52 | 8 | 0.54 | 0.153 0.243 0.243 0.360
227 2 226 | 84 84 | 50 | 8 | 0.53 | 0.142 0.230 0.230 0.398
229 6 228 | 92 92 | 64 | 4 | 0.26 | 0.211 0.193 0.193 0.404
233 3 232 | 84 84 | 54 | 12 | 0.79 | 0.121 0.241 0.241 0.397
239 7 238 | 92 92 | 48 | 10 | 0.65 | 0.126 0.261 0.261 0.353
241 7 240 | 84 84 | 52 | 10 | 0.64 | 0.117 0.233 0.233 0.417
251 6 250 | 80 80 | 38 | 10 | 0.63 | 0.088 0.232 0.232 0.448
257 3 256 | 88 88 | 60 | 6 | 0.37 | 0.117 0.227 0.227 0.430
263 5 262 | 76 76 | 46 | 4 | 0.25 | 0.069 0.221 0.221 0.489
269 2 268 | 104 104 | 72 | 4 | 0.24 | 0.164 0.224 0.224 0.388
271 6 270 | 104 104 | 54 | 10 | 0.61 | 0.111 0.274 0.274 0.341
277 5 276 | 100 100 | 60 | 10 | 0.60 | 0.138 0.225 0.225 0.413
281 3 280 | 108 108 | 72 | 10 | 0.60 | 0.157 0.229 0.229 0.386
283 3 282 | 84 84 | 64 | 6 | 0.36 | 0.121 0.177 0.177 0.525
293 2 292 | 112 112 | 80 | 8 | 0.47 | 0.144 0.240 0.240 0.377
307 5 306 | 104 104 | 62 | 8 | 0.46 | 0.137 0.203 0.203 0.458
311 17 310 | 92 92 | 46 | 8 | 0.45 | 0.077 0.219 0.219 0.484
