p: m5 m6 m7 m8 | m8/p m7/p m6/p m5/p | savings/(p-1) | 4-class groups by m (m=#centres at the smaller value): 4:(4,8,4) 3:(3,7,5,1) 2:(2,6,6,2) 1:(1,5,7,3) 0
 229:   6  42   6  22 | 0.096 0.026 0.183 0.026 | 0.430 | 4: 22 3:  3 2: 21 1:  3 0:  0 | N4=49 N3=0 N2=128 N4/p=0.214
 233:  22  28  20  16 | 0.069 0.086 0.120 0.094 | 0.435 | 4: 16 3: 10 2: 13 1: 10 0:  0 | N4=49 N3=4 N2=128 N4/p=0.210
 239:  18  40  16  22 | 0.092 0.067 0.167 0.075 | 0.492 | 4: 22 3:  8 2: 20 1:  8 0:  0 | N4=58 N3=2 N2=119 N4/p=0.243
 241:  28  52  26  14 | 0.058 0.108 0.216 0.116 | 0.554 | 4: 14 3: 13 2: 25 1: 13 0:  0 | N4=65 N3=4 N2=104 N4/p=0.270
 251:  18  48  18  20 | 0.080 0.072 0.191 0.072 | 0.496 | 4: 20 3:  9 2: 24 1:  9 0:  0 | N4=62 N3=0 N2=125 N4/p=0.247
 257:  22  34  18  26 | 0.101 0.070 0.132 0.086 | 0.484 | 4: 26 3:  9 2: 17 1:  9 0:  0 | N4=61 N3=4 N2=128 N4/p=0.237
 263:  22  36  20  26 | 0.099 0.076 0.137 0.084 | 0.492 | 4: 26 3: 10 2: 18 1: 10 0:  0 | N4=64 N3=2 N2=131 N4/p=0.243
 269:  28  50  28  20 | 0.074 0.104 0.186 0.104 | 0.545 | 4: 20 3: 14 2: 25 1: 14 0:  0 | N4=73 N3=0 N2=120 N4/p=0.271
 271:  20  40  18  28 | 0.103 0.066 0.148 0.074 | 0.493 | 4: 28 3:  9 2: 20 1:  9 0:  0 | N4=66 N3=2 N2=135 N4/p=0.244
 277:  28  38  28  26 | 0.094 0.101 0.137 0.101 | 0.529 | 4: 26 3: 14 2: 19 1: 14 0:  0 | N4=73 N3=0 N2=128 N4/p=0.264
 281:  22  52  20  20 | 0.071 0.071 0.185 0.078 | 0.475 | 4: 20 3: 10 2: 25 1: 10 0:  0 | N4=65 N3=4 N2=144 N4/p=0.231
 283:  34  32  34  20 | 0.071 0.120 0.113 0.120 | 0.496 | 4: 20 3: 17 2: 16 1: 17 0:  0 | N4=70 N3=0 N2=141 N4/p=0.247
 293:  26  62  26  24 | 0.082 0.089 0.212 0.089 | 0.555 | 4: 24 3: 13 2: 31 1: 13 0:  0 | N4=81 N3=0 N2=128 N4/p=0.276
 307:  36  44  36  18 | 0.059 0.117 0.143 0.117 | 0.497 | 4: 18 3: 18 2: 22 1: 18 0:  0 | N4=76 N3=0 N2=153 N4/p=0.248
 311:  20  72  18  22 | 0.071 0.058 0.232 0.064 | 0.494 | 4: 22 3:  9 2: 36 1:  9 0:  0 | N4=76 N3=2 N2=155 N4/p=0.244
 313:  30  46  26  20 | 0.064 0.083 0.147 0.096 | 0.449 | 4: 20 3: 13 2: 23 1: 13 0:  0 | N4=69 N3=4 N2=168 N4/p=0.220
 317:  24  46  24  26 | 0.082 0.076 0.145 0.076 | 0.462 | 4: 26 3: 12 2: 23 1: 12 0:  0 | N4=73 N3=0 N2=168 N4/p=0.230
 331:  14  68  14  34 | 0.103 0.042 0.205 0.042 | 0.497 | 4: 34 3:  7 2: 34 1:  7 0:  0 | N4=82 N3=0 N2=165 N4/p=0.248
 337:  28  62  24  22 | 0.065 0.071 0.184 0.083 | 0.464 | 4: 22 3: 12 2: 31 1: 12 0:  0 | N4=77 N3=4 N2=176 N4/p=0.228
 347:  34  56  34  24 | 0.069 0.098 0.161 0.098 | 0.497 | 4: 24 3: 17 2: 28 1: 17 0:  0 | N4=86 N3=0 N2=173 N4/p=0.248
 349:  28  70  28  26 | 0.074 0.080 0.201 0.080 | 0.511 | 4: 26 3: 14 2: 35 1: 14 0:  0 | N4=89 N3=0 N2=168 N4/p=0.255
 353:  24  54  20  30 | 0.085 0.057 0.153 0.068 | 0.443 | 4: 30 3: 10 2: 27 1: 10 0:  0 | N4=77 N3=4 N2=192 N4/p=0.218
 359:  20  64  18  38 | 0.106 0.050 0.178 0.056 | 0.494 | 4: 38 3:  9 2: 32 1:  9 0:  0 | N4=88 N3=2 N2=179 N4/p=0.245
 367:  42  44  40  28 | 0.076 0.109 0.120 0.114 | 0.495 | 4: 28 3: 20 2: 22 1: 20 0:  0 | N4=90 N3=2 N2=183 N4/p=0.245
 373:  34  46  34  32 | 0.086 0.091 0.123 0.091 | 0.478 | 4: 32 3: 17 2: 23 1: 17 0:  0 | N4=89 N3=0 N2=192 N4/p=0.239
 379:  28  60  28  36 | 0.095 0.074 0.158 0.074 | 0.497 | 4: 36 3: 14 2: 30 1: 14 0:  0 | N4=94 N3=0 N2=189 N4/p=0.248
 383:  32  56  30  36 | 0.094 0.078 0.146 0.084 | 0.495 | 4: 36 3: 15 2: 28 1: 15 0:  0 | N4=94 N3=2 N2=191 N4/p=0.245
 389:  38  66  38  34 | 0.087 0.098 0.170 0.098 | 0.541 | 4: 34 3: 19 2: 33 1: 19 0:  0 | N4=105 N3=0 N2=176 N4/p=0.270
 397:  24  58  24  36 | 0.091 0.060 0.146 0.060 | 0.449 | 4: 36 3: 12 2: 29 1: 12 0:  0 | N4=89 N3=0 N2=216 N4/p=0.224
 401:  34  70  30  32 | 0.080 0.075 0.175 0.085 | 0.490 | 4: 32 3: 15 2: 35 1: 15 0:  0 | N4=97 N3=4 N2=200 N4/p=0.242
 409:  40  80  38  24 | 0.059 0.093 0.196 0.098 | 0.502 | 4: 24 3: 19 2: 39 1: 19 0:  0 | N4=101 N3=4 N2=200 N4/p=0.247
 419:  30  68  30  40 | 0.095 0.072 0.162 0.072 | 0.498 | 4: 40 3: 15 2: 34 1: 15 0:  0 | N4=104 N3=0 N2=209 N4/p=0.248
 421:  34  66  34  30 | 0.071 0.081 0.157 0.081 | 0.462 | 4: 30 3: 17 2: 33 1: 17 0:  0 | N4=97 N3=0 N2=224 N4/p=0.230
 431:  44  68  42  30 | 0.070 0.097 0.158 0.102 | 0.495 | 4: 30 3: 21 2: 34 1: 21 0:  0 | N4=106 N3=2 N2=215 N4/p=0.246
 433:  30  74  26  34 | 0.079 0.060 0.171 0.069 | 0.454 | 4: 34 3: 13 2: 37 1: 13 0:  0 | N4=97 N3=4 N2=232 N4/p=0.224
 439:  32  88  30  34 | 0.077 0.068 0.200 0.073 | 0.495 | 4: 34 3: 15 2: 44 1: 15 0:  0 | N4=108 N3=2 N2=219 N4/p=0.246
 443:  42  68  42  34 | 0.077 0.095 0.153 0.095 | 0.498 | 4: 34 3: 21 2: 34 1: 21 0:  0 | N4=110 N3=0 N2=221 N4/p=0.248
 449:  40  76  38  38 | 0.085 0.085 0.169 0.089 | 0.511 | 4: 38 3: 19 2: 37 1: 19 0:  0 | N4=113 N3=4 N2=216 N4/p=0.252
 457:  36  68  34  34 | 0.074 0.074 0.149 0.079 | 0.450 | 4: 34 3: 17 2: 33 1: 17 0:  0 | N4=101 N3=4 N2=248 N4/p=0.221
 461:  36  74  36  32 | 0.069 0.078 0.161 0.078 | 0.457 | 4: 32 3: 18 2: 37 1: 18 0:  0 | N4=105 N3=0 N2=248 N4/p=0.228
 463:  44  76  42  34 | 0.073 0.091 0.164 0.095 | 0.496 | 4: 34 3: 21 2: 38 1: 21 0:  0 | N4=114 N3=2 N2=231 N4/p=0.246
 467:  40  76  40  38 | 0.081 0.086 0.163 0.086 | 0.498 | 4: 38 3: 20 2: 38 1: 20 0:  0 | N4=116 N3=0 N2=233 N4/p=0.248
 479:  42  80  40  38 | 0.079 0.084 0.167 0.088 | 0.496 | 4: 38 3: 20 2: 40 1: 20 0:  0 | N4=118 N3=2 N2=239 N4/p=0.246
 487:  48  80  46  34 | 0.070 0.094 0.164 0.099 | 0.496 | 4: 34 3: 23 2: 40 1: 23 0:  0 | N4=120 N3=2 N2=243 N4/p=0.246
 491:  40 100  40  32 | 0.065 0.081 0.204 0.081 | 0.498 | 4: 32 3: 20 2: 50 1: 20 0:  0 | N4=122 N3=0 N2=245 N4/p=0.248
 499:  34 100  34  40 | 0.080 0.068 0.200 0.068 | 0.498 | 4: 40 3: 17 2: 50 1: 17 0:  0 | N4=124 N3=0 N2=249 N4/p=0.248
# averages over primes 200..500: m8/p=0.0795 m7/p=0.0800 m6/p=0.1677 m5/p=0.0835 savings/(p-1)=0.4901
