n5_c30_ord24_1.txt 2026-09-03T04:22:46Z ОТКАЗ: свидетель ПУСТОЙ или слишком мал (1 точек) — проверять нечего, это НЕ подтверждение | n=5 m=1 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 124 заменяемых 0/1 оживающих клеток 0
n5_c31_ord24_5.txt 2026-09-03T04:22:46Z n=5: точек 5, компланарных четвёрок 0  — свидетель ЧИСТ | n=5 m=5 min κ³=1 НЕЖЁСТКО заменяемых 5/5 оживающих клеток 306
n5_c32_ord48_1.txt 2026-09-03T04:22:46Z ОТКАЗ: свидетель ПУСТОЙ или слишком мал (1 точек) — проверять нечего, это НЕ подтверждение | n=5 m=1 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 124 заменяемых 0/1 оживающих клеток 0
n6_c00_ord1_15.txt 2026-09-03T04:22:46Z n=6: точек 15, компланарных четвёрок 0  — свидетель ЧИСТ | n=6 m=15 min κ³=3 ЖЁСТКО заменяемых 0/15 оживающих клеток 0
n6_c01_ord2_2.txt 2026-09-03T04:22:46Z ОТКАЗ: свидетель ПУСТОЙ или слишком мал (2 точек) — проверять нечего, это НЕ подтверждение | n=6 m=2 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 214 заменяемых 0/2 оживающих клеток 0
n6_c02_ord2_12.txt 2026-09-03T04:22:46Z n=6: точек 12, компланарных четвёрок 0  — свидетель ЧИСТ | n=6 m=12 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 4 заменяемых 12/12 оживающих клеток 136
n6_c03_ord2_14.txt 2026-09-03T04:22:47Z n=6: точек 14, компланарных четвёрок 0  — свидетель ЧИСТ | n=6 m=14 min κ³=4 ЖЁСТКО заменяемых 0/14 оживающих клеток 0
n6_c04_ord2_5.txt 2026-09-03T04:22:47Z n=6: точек 5, компланарных четвёрок 0  — свидетель ЧИСТ | n=6 m=5 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 142 заменяемых 5/5 оживающих клеток 200
n6_c05_ord2_2.txt 2026-09-03T04:22:47Z ОТКАЗ: свидетель ПУСТОЙ или слишком мал (2 точек) — проверять нечего, это НЕ подтверждение | n=6 m=2 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 214 заменяемых 0/2 оживающих клеток 0
n6_c06_ord3_15.txt 2026-09-03T04:22:47Z n=6: точек 15, компланарных четвёрок 0  — свидетель ЧИСТ | n=6 m=15 min κ³=4 ЖЁСТКО заменяемых 0/15 оживающих клеток 0
n6_c08_ord4_2.txt 2026-09-03T04:22:48Z ОТКАЗ: свидетель ПУСТОЙ или слишком мал (2 точек) — проверять нечего, это НЕ подтверждение | n=6 m=2 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 214 заменяемых 0/2 оживающих клеток 0
n6_c09_ord4_12.txt 2026-09-03T04:22:48Z n=6: точек 12, компланарных четвёрок 0  — свидетель ЧИСТ | n=6 m=12 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 16 заменяемых 12/12 оживающих клеток 172
n6_c10_ord4_12.txt 2026-09-03T04:22:48Z n=6: точек 12, компланарных четвёрок 0  — свидетель ЧИСТ | n=6 m=12 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 4 заменяемых 12/12 оживающих клеток 244
n6_c11_ord4_4.txt 2026-09-03T04:22:48Z n=6: точек 4, компланарных четвёрок 0  — свидетель ЧИСТ | n=6 m=4 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 194 заменяемых 4/4 оживающих клеток 46
n6_c12_ord4_2.txt 2026-09-03T04:22:48Z ОТКАЗ: свидетель ПУСТОЙ или слишком мал (2 точек) — проверять нечего, это НЕ подтверждение | n=6 m=2 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 214 заменяемых 0/2 оживающих клеток 0
n6_c14_ord4_12.txt 2026-09-03T04:22:48Z n=6: точек 12, компланарных четвёрок 0  — свидетель ЧИСТ | n=6 m=12 min κ³=1 НЕЖЁСТКО заменяемых 12/12 оживающих клеток 144
n6_c16_ord6_2.txt 2026-09-03T04:22:48Z ОТКАЗ: свидетель ПУСТОЙ или слишком мал (2 точек) — проверять нечего, это НЕ подтверждение | n=6 m=2 min κ³=0 НЕ МАКСИМАЛЬНА: допустимых клеток 214 заменяемых 0/2 оживающих клеток 0
n6_c17_ord6_12.txt 2026-09-03T04:22:49Z n=6: точек 12, компланарных четвёрок 0  — свидетель ЧИСТ | n=6 m=12 min κ³=1 НЕЖЁСТКО заменяемых 12/12 оживающих клеток 36
